Model,Method,variable,value,a_11,a_12,a_21,a_22
Ridge Classifier,Dataset after Deleting all the NAs,Accuracy,0.9293,12,5,1,159
K Neighbors Classifier,Dataset after Deleting all the NAs,Accuracy,0.922,4,13,2,158
Logistic Regression,Dataset after Deleting all the NAs,Accuracy,0.9195,11,6,3,157
Light Gradient Boosting Machine,Dataset after Deleting all the NAs,Accuracy,0.9171,8,9,4,156
Linear Discriminant Analysis,Dataset after Deleting all the NAs,Accuracy,0.9122,12,5,7,153
CatBoost Classifier,Dataset after Deleting all the NAs,Accuracy,0.9122,0,0,0,0
Ada Boost Classifier,Dataset after Deleting all the NAs,Accuracy,0.9098,11,6,5,155
Gradient Boosting Classifier,Dataset after Deleting all the NAs,Accuracy,0.9098,11,6,3,157
Random Forest Classifier,Dataset after Deleting all the NAs,Accuracy,0.9073,6,11,6,154
Extreme Gradient Boosting,Dataset after Deleting all the NAs,Accuracy,0.9024,11,6,4,156
Quadratic Discriminant Analysis,Dataset after Deleting all the NAs,Accuracy,0.9,0,17,0,160
Extra Trees Classifier,Dataset after Deleting all the NAs,Accuracy,0.9,10,7,4,156
SVM - Linear Kernel,Dataset after Deleting all the NAs,Accuracy,0.8951,13,4,6,154
Decision Tree Classifier,Dataset after Deleting all the NAs,Accuracy,0.8878,12,5,4,156
Naive Bayes,Dataset after Deleting all the NAs,Accuracy,0.6878,17,0,55,105
CatBoost Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9689,0,0,0,0
Extra Trees Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9676,154,5,6,153
Light Gradient Boosting Machine,Dataset after Dealing with Imbalance,Accuracy,0.9676,154,5,10,149
Gradient Boosting Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9662,154,5,9,150
Random Forest Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9635,156,3,14,145
Extreme Gradient Boosting,Dataset after Dealing with Imbalance,Accuracy,0.9635,152,7,13,146
Ridge Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9527,152,7,2,157
Linear Discriminant Analysis,Dataset after Dealing with Imbalance,Accuracy,0.9527,152,7,2,157
Ada Boost Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9514,155,4,13,146
Logistic Regression,Dataset after Dealing with Imbalance,Accuracy,0.9473,154,5,6,153
Decision Tree Classifier,Dataset after Dealing with Imbalance,Accuracy,0.9473,153,6,15,144
Quadratic Discriminant Analysis,Dataset after Dealing with Imbalance,Accuracy,0.9446,142,17,0,159
K Neighbors Classifier,Dataset after Dealing with Imbalance,Accuracy,0.927,158,1,19,140
SVM - Linear Kernel,Dataset after Dealing with Imbalance,Accuracy,0.9108,150,9,1,158
